source,category,shorthand,fullDescription,keywords
CCCS CPG(2015) 1,The Use of Enteral Nutrition vs. Parenteral Nutrition,The Use of Enteral Nutrition vs. Parenteral Nutrition,"Based on 16 level 2 and 1 level 1 study, when considering nutrition support for critically ill patients, we recommend the use of enteral nutrition over parenteral nutrition in patients with an intact gastrointestinal tract.","['Nutrition', 'Support', 'Gastrointestinal', 'Tract', 'EN', 'Initiation']"
CCCS CPG(2015) 2,Early vs. delayed nutrient intake,Early vs. delayed nutrient intake,"Based on 16 level 2 studies, we recommend early enteral nutrition (within 24-48 hours following admission to ICU) in critically ill patients.","['Patient', ""'s"", 'ICU', 'Admission', 'Time', 'Early', 'EN']"
CCCS CPG(2015) 3.1,Nutritional Prescription (dose) of Enteral Nutrition,Use of Indirect Calorimetry vs. Predictive Equations,There are insufficient data to make a recommendation on the use of indirect calorimetry vs. predictive equations for determining energy needs for nutrition or to guide when nutrition is to be supplemented in critically ill patients.,"['Indirect', 'Calorimetry', 'Predictive', 'Energy', 'Needs', 'Equations']"
CCCS CPG(2015) 3.2,Nutritional Prescription (dose) of Enteral Nutrition,Enhanced Dose of Enteral Nutrition,"Based on 1 level 1 study, 3 level 2 studies and 2 cluster randomized controlled trials, when starting enteral nutrition in critically ill patients, strategies to optimize delivery of nutrients (starting at target rate, volume-based feeding strategies, higher threshold of gastric residual volumes, use of prokinetics, concentrated feeding solutions and small bowel feedings) should be considered.","['EN', 'Initiation', 'EN', 'Optimization', 'Strategies', 'starting', 'target', 'rate', 'volume', 'based', 'feeding', 'higher', 'threshold', 'gastric', 'residual', 'volumes', 'use', 'prokinetics', 'concentrated', 'feeding', 'small', 'bowel', 'feeding']"
CCCS CPG(2015) 3.3a,Nutritional Prescription (dose) of Enteral Nutrition,Trophic Feeds vs. Full Feeds,"Based on 2 level 1 studies, in patients with Acute Lung Injury, an initial strategy of trophic feeds for 5 days should not be considered.","['Acute', 'Lung', 'Injury', 'Trophic', 'Feeds']"
CCCS CPG(2015) 3.3b,Nutritional Prescription (dose) of Enteral Nutrition,Hypocaloric Enteral Nutrition,"Based on 4 level 2 studies, intentional underfeeding of calories (not protein) should be considered in patients at low nutrition- risk. However, this recommendation does not apply to patients at high nutrition risk.","['Nutrition', 'Risk', 'Intentional', 'Underfeeding']"
CCCS CPG(2015) 4.1a,Composition of Enteral Nutrition,Diets Supplemented with Arginine and Select Other Nutrients,"Based on 5 level 1 studies and 22 level 2 studies, we do not recommend diets supplemented with arginine and other select nutrients* be used for critically ill patients.",['Arginine']
CCCS CPG(2015) 4.1bi,Composition of Enteral Nutrition,"Fish Oils, Borage Oils and Antioxidants","Based on 3 level 1 studies and 5 level 2 studies, the use of an enteral formula with fish oils, borage oils and antioxidants in patients with Acute Lung Injury (ALI) and Acute Respiratory Distress Syndrome (ARDS) should be considered.","['Acute', 'Lung', 'Injury', 'Acute', 'Respiratory', 'Distress', 'Syndrome', 'Fish', 'Oils', 'Borage', 'Oils', 'Antioxidants']"
CCCS CPG(2015) 4.1bii,Composition of Enteral Nutrition,Fish oil supplementation,There are insufficient data to make a recommendation on the supplementation of fish oils alone in critically ill patients,"['Fish', 'Oils']"
CCCS CPG(2015) 4.1c,Composition of Enteral Nutrition,Glutamine,"Based on 3 level 1 and 8 level 2 studies, we recommend that enteral glutamine NOT be used in critically ill patients.",['Glutamine']
CCCS CPG(2015) 4.1d,Composition of Enteral Nutrition,Ornithine Ketoglutarate (OKG),There are insufficient data to make a recommendation regarding the use of ornithine ketoglutarate for burn patients and other critically ill patients.,"['Ornithine', 'Ketoglutarate', 'Burn', 'Patients']"
CCCS CPG(2015) 4.2a,Composition of Enteral Nutrition,High fat/low CHO,There are insufficient data to recommend high fat/low CHO diets for critically ill patients.,"['Fat', 'Carbohydrates', 'Diets']"
CCCS CPG(2015) 4.2b,Composition of Enteral Nutrition,Low fat/high CHO,There are insufficient data to recommend low fat/high CHO diets for critically ill patients.,"['Fat', 'Carbohydrates', 'Diets']"
CCCS CPG(2015) 4.2c,Composition of Enteral Nutrition,High Protein vs. Low Protein,There are insufficient data to make a recommendation regarding the use of high protein diets or escalating doses of protein in critically ill patients.,"['Protein', 'Dosage']"
CCCS CPG(2015) 4.3,Composition of Enteral Nutrition,Whole Protein vs. Peptides,"Based on 5 level 2 studies, when initiating enteral feeds, the use of whole protein formulas (polymeric) should be considered.","['Enteral', 'Nutrtion', 'Initiation', 'Whole', 'Protein', 'Formula', 'Polymeric']"
